H2,CH4,C2H6,C2H4,C2H2,Fault Type,R1_C2H2_C2H4,R2_CH4_H2,R3_C2H4_C2H6,Rogers_Prediction,label_encoded,RF_Pred_encoded,RF_Pred_Label
6600.0,1000.0,38.0,2.0,19.0,Partial Discharge,9.5,0.15151515151515152,0.05263157894736842,Unknown/Other,5,2.0,Low Energy Discharge
56.0,61.0,75.0,32.0,31.0,Partial Discharge,0.96875,1.0892857142857142,0.4266666666666667,Unknown/Other,5,5.0,Partial Discharge
2240.0,168.0,25.0,1e-06,1e-06,Partial Discharge,1.0,0.075,4e-08,Unknown/Other,5,5.0,Partial Discharge
92600.0,10200.0,1e-06,1e-06,1e-06,Partial Discharge,1.0,0.1101511879049676,1.0,Unknown/Other,5,5.0,Partial Discharge
24.3,15.7,6.4,11.2,29.8,Partial Discharge,2.660714285714286,0.6460905349794238,1.7499999999999998,Unknown/Other,5,5.0,Partial Discharge
485.0,35.0,29.0,6.0,1e-06,Partial Discharge,1.6666666666666665e-07,0.07216494845360824,0.20689655172413793,Partial Discharge (PD) / Low Energy Discharge,5,5.0,Partial Discharge
109.0,4.0,11.0,9.0,1e-06,Partial Discharge,1.1111111111111111e-07,0.03669724770642202,0.8181818181818182,Partial Discharge (PD) / Low Energy Discharge,5,5.0,Partial Discharge
16000.0,4000.0,500.0,8500.0,16000.0,Partial Discharge,1.8823529411764706,0.25,17.0,High Energy Discharge (Arcing),5,5.0,Partial Discharge
2031.0,149.0,20.0,3.0,1e-06,Partial Discharge,3.333333333333333e-07,0.07336287543082226,0.15,Partial Discharge (PD) / Low Energy Discharge,5,5.0,Partial Discharge
870.0,77.0,73.0,54.0,14.0,Partial Discharge,0.25925925925925924,0.08850574712643679,0.7397260273972602,Unknown/Other,5,2.0,Low Energy Discharge
106.0,4.0,2.0,1.0,1e-06,Partial Discharge,1e-06,0.03773584905660377,0.5,Partial Discharge (PD) / Low Energy Discharge,5,5.0,Partial Discharge
32930.0,2397.0,157.0,1e-06,1e-06,Partial Discharge,1.0,0.07279076829638627,6.369426751592357e-09,Unknown/Other,5,5.0,Partial Discharge
197.0,12.0,6.6,15.0,1e-06,Partial Discharge,6.666666666666667e-08,0.06091370558375635,2.272727272727273,Unknown/Other,5,5.0,Partial Discharge
117.0,17.0,1.0,3.0,1.0,Partial Discharge,0.3333333333333333,0.1452991452991453,3.0,Unknown/Other,5,5.0,Partial Discharge
160.0,24.7,38.5,1e-06,1e-06,Partial Discharge,1.0,0.15437499999999998,2.5974025974025973e-08,Unknown/Other,5,5.0,Partial Discharge
134.0,13.0,156.0,1e-06,1e-06,Partial Discharge,1.0,0.09701492537313433,6.41025641025641e-09,Unknown/Other,5,5.0,Partial Discharge
166.0,21.0,38.0,6.0,1e-06,Partial Discharge,1.6666666666666665e-07,0.12650602409638553,0.15789473684210525,Normal,5,5.0,Partial Discharge
183.0,6.0,1e-06,5.0,1e-06,Partial Discharge,2e-07,0.03278688524590164,5000000.0,Unknown/Other,5,5.0,Partial Discharge
2240.0,157.0,90.0,45.0,45.0,Partial Discharge,1.0,0.07008928571428572,0.5,Unknown/Other,5,5.0,Partial Discharge
6454.0,2313.0,121.0,2159.0,6432.0,Low Energy Discharge,2.9791570171375636,0.3583823985125504,17.84297520661157,High Energy Discharge (Arcing),2,0.0,High Energy Discharge (Arcing)
240.0,20.0,5.0,28.0,96.0,Low Energy Discharge,3.4285714285714284,0.08333333333333333,5.6,Unknown/Other,2,2.0,Low Energy Discharge
65.2,20.0,3.9,8.13,25.1,Low Energy Discharge,3.087330873308733,0.3067484662576687,2.0846153846153848,Unknown/Other,2,2.0,Low Energy Discharge
143.0,5.8,16.0,10.6,26.3,Low Energy Discharge,2.4811320754716983,0.04055944055944056,0.6625,Unknown/Other,2,2.0,Low Energy Discharge
30.1,17.1,2.2,5.5,30.1,Low Energy Discharge,5.472727272727273,0.5681063122923589,2.5,Unknown/Other,2,2.0,Low Energy Discharge
120.0,25.0,1.0,8.0,40.0,Low Energy Discharge,5.0,0.20833333333333334,8.0,Unknown/Other,2,2.0,Low Energy Discharge
137.0,6.0,11.4,6.4,16.5,Low Energy Discharge,2.578125,0.043795620437956206,0.5614035087719298,Unknown/Other,2,2.0,Low Energy Discharge
23.0,63.0,54.0,10.0,0.3,Low Energy Discharge,0.03,2.739130434782609,0.18518518518518517,Unknown/Other,2,2.0,Low Energy Discharge
4879.0,262.0,15.0,332.0,1827.0,Low Energy Discharge,5.503012048192771,0.053699528591924575,22.133333333333333,Unknown/Other,2,2.0,Low Energy Discharge
301.0,5.78,4.7,9.7,5.0,Low Energy Discharge,0.5154639175257733,0.01920265780730897,2.0638297872340425,Unknown/Other,2,2.0,Low Energy Discharge
716.0,7.1,3.3,20.0,6.8,Low Energy Discharge,0.33999999999999997,0.009916201117318436,6.0606060606060606,Unknown/Other,2,2.0,Low Energy Discharge
289.0,13.4,18.2,49.8,36.3,Low Energy Discharge,0.7289156626506024,0.04636678200692042,2.7362637362637363,Unknown/Other,2,2.0,Low Energy Discharge
179.0,29.0,10.0,17.0,33.0,Low Energy Discharge,1.9411764705882353,0.16201117318435754,1.7,Unknown/Other,2,2.0,Low Energy Discharge
2177.0,1049.0,207.0,440.0,705.0,Low Energy Discharge,1.6022727272727273,0.4818557648139642,2.1256038647342996,Unknown/Other,2,2.0,Low Energy Discharge
7600.0,1230.0,318.0,836.0,1560.0,Low Energy Discharge,1.8660287081339713,0.1618421052631579,2.6289308176100628,Unknown/Other,2,2.0,Low Energy Discharge
543.0,120.0,41.0,411.0,1880.0,Low Energy Discharge,4.574209245742092,0.22099447513812154,10.024390243902438,Unknown/Other,2,0.0,High Energy Discharge (Arcing)
186.0,38.3,13.0,37.0,85.9,Low Energy Discharge,2.3216216216216217,0.20591397849462365,2.8461538461538463,Unknown/Other,2,2.0,Low Energy Discharge
4.1,3.5,0.68,1.2,5.2,Low Energy Discharge,4.333333333333334,0.853658536585366,1.764705882352941,Unknown/Other,2,2.0,Low Energy Discharge
210.0,22.0,6.0,6.0,7.0,Low Energy Discharge,1.1666666666666667,0.10476190476190476,1.0,Unknown/Other,2,2.0,Low Energy Discharge
254.0,5.2,1e-06,9.3,88.0,Low Energy Discharge,9.462365591397848,0.02047244094488189,9300000.000000002,Unknown/Other,2,2.0,Low Energy Discharge
385.0,28.8,50.0,82.3,171.0,Low Energy Discharge,2.077764277035237,0.0748051948051948,1.646,Unknown/Other,2,2.0,Low Energy Discharge
843.0,133.0,12.0,168.0,385.0,Low Energy Discharge,2.2916666666666665,0.15776986951364175,14.0,High Energy Discharge (Arcing),2,2.0,Low Energy Discharge
208.0,7.6,27.5,9.7,14.4,Low Energy Discharge,1.4845360824742269,0.036538461538461534,0.3527272727272727,Unknown/Other,2,2.0,Low Energy Discharge
65.5,23.3,1.0,2.1,26.0,Low Energy Discharge,12.38095238095238,0.35572519083969467,2.1,Unknown/Other,2,2.0,Low Energy Discharge
35.0,6.0,3.0,26.0,482.0,Low Energy Discharge,18.53846153846154,0.17142857142857143,8.666666666666666,Unknown/Other,2,2.0,Low Energy Discharge
3559.0,187.0,22.0,230.0,1140.0,Low Energy Discharge,4.956521739130435,0.05254284911491992,10.454545454545455,Unknown/Other,2,2.0,Low Energy Discharge
10092.0,5399.0,530.0,6500.0,37565.0,Low Energy Discharge,5.779230769230769,0.534978200554895,12.264150943396226,Unknown/Other,2,2.0,Low Energy Discharge
1900.0,285.0,31.0,957.0,7730.0,Low Energy Discharge,8.077324973876697,0.15,30.870967741935484,Unknown/Other,2,2.0,Low Energy Discharge
307.0,22.0,2.0,33.0,109.0,Low Energy Discharge,3.303030303030303,0.07166123778501629,16.5,Unknown/Other,2,2.0,Low Energy Discharge
225.0,4.7,1e-06,8.7,89.0,Low Energy Discharge,10.229885057471265,0.02088888888888889,8700000.0,Unknown/Other,2,2.0,Low Energy Discharge
78.0,20.0,11.0,13.0,28.0,Low Energy Discharge,2.1538461538461537,0.2564102564102564,1.1818181818181819,Unknown/Other,2,0.0,High Energy Discharge (Arcing)
266.0,30.2,4.9,26.2,60.2,Low Energy Discharge,2.2977099236641223,0.11353383458646617,5.346938775510203,High Energy Discharge (Arcing),2,2.0,Low Energy Discharge
645.0,86.0,13.0,110.0,317.0,Low Energy Discharge,2.881818181818182,0.13333333333333333,8.461538461538462,High Energy Discharge (Arcing),2,2.0,Low Energy Discharge
119.0,8.0,23.3,7.9,12.3,Low Energy Discharge,1.5569620253164558,0.06722689075630252,0.33905579399141633,Unknown/Other,2,2.0,Low Energy Discharge
57.0,24.0,2.0,27.0,30.0,Low Energy Discharge,1.1111111111111112,0.42105263157894735,13.5,High Energy Discharge (Arcing),2,2.0,Low Energy Discharge
14.2,4.0,1.4,1.5,9.51,Low Energy Discharge,6.34,0.28169014084507044,1.0714285714285714,Unknown/Other,2,2.0,Low Energy Discharge
818.0,94.0,49.0,121.0,978.0,Low Energy Discharge,8.082644628099173,0.11491442542787286,2.4693877551020407,Unknown/Other,2,2.0,Low Energy Discharge
115.0,25.5,110.0,12.2,8.6,Low Energy Discharge,0.7049180327868853,0.2217391304347826,0.1109090909090909,Unknown/Other,2,2.0,Low Energy Discharge
205.0,20.0,8.0,1e-06,6.0,Low Energy Discharge,6000000.0,0.0975609756097561,1.25e-07,Unknown/Other,2,2.0,Low Energy Discharge
101.72,27.65,7.13,16.92,53.87,Low Energy Discharge,3.1838061465721035,0.27182461659457335,2.3730715287517534,Unknown/Other,2,0.0,High Energy Discharge (Arcing)
135.0,27.0,24.0,9.0,13.0,Low Energy Discharge,1.4444444444444444,0.2,0.375,Unknown/Other,2,2.0,Low Energy Discharge
47.5,22.9,4.5,9.6,15.3,Low Energy Discharge,1.5937500000000002,0.4821052631578947,2.1333333333333333,Unknown/Other,2,0.0,High Energy Discharge (Arcing)
6870.0,1028.0,79.0,900.0,5500.0,Low Energy Discharge,6.111111111111111,0.14963609898107716,11.39240506329114,Unknown/Other,2,2.0,Low Energy Discharge
119.0,8.0,20.0,1e-06,21.0,Low Energy Discharge,21000000.0,0.06722689075630252,5e-08,Unknown/Other,2,2.0,Low Energy Discharge
60.0,10.0,4.0,4.0,4.0,Low Energy Discharge,1.0,0.16666666666666666,1.0,Unknown/Other,2,2.0,Low Energy Discharge
385.0,60.0,8.0,53.0,159.0,Low Energy Discharge,3.0,0.15584415584415584,6.625,High Energy Discharge (Arcing),2,2.0,Low Energy Discharge
5.26,1e-06,1e-06,28.2,66.4,Low Energy Discharge,2.3546099290780145,1.9011406844106463e-07,28200000.0,Unknown/Other,2,2.0,Low Energy Discharge
2510.0,202.0,139.0,208.0,1730.0,Low Energy Discharge,8.317307692307692,0.0804780876494024,1.4964028776978417,Unknown/Other,2,2.0,Low Energy Discharge
650.0,81.0,170.0,51.0,270.0,Low Energy Discharge,5.294117647058823,0.12461538461538461,0.3,Unknown/Other,2,2.0,Low Energy Discharge
153.0,18.0,9.0,1e-06,278.0,Low Energy Discharge,278000000.0,0.11764705882352941,1.1111111111111111e-07,Unknown/Other,2,2.0,Low Energy Discharge
1790.0,580.0,321.0,336.0,619.0,Low Energy Discharge,1.8422619047619047,0.3240223463687151,1.0467289719626167,Unknown/Other,2,2.0,Low Energy Discharge
256.0,8.0,37.4,15.0,21.1,Low Energy Discharge,1.4066666666666667,0.03125,0.40106951871657753,Unknown/Other,2,2.0,Low Energy Discharge
60.0,10.0,1e-06,11.0,39.0,Low Energy Discharge,3.5454545454545454,0.16666666666666666,11000000.0,Unknown/Other,2,2.0,Low Energy Discharge
151.0,13.5,50.7,5.0,9.2,Low Energy Discharge,1.8399999999999999,0.08940397350993377,0.09861932938856015,Unknown/Other,2,2.0,Low Energy Discharge
9.0,3.9,0.8,4.0,13.0,Low Energy Discharge,3.25,0.43333333333333335,5.0,Unknown/Other,2,2.0,Low Energy Discharge
274.0,27.0,5.0,33.0,97.0,Low Energy Discharge,2.9393939393939394,0.09854014598540146,6.6,Unknown/Other,2,2.0,Low Energy Discharge
305.0,100.0,33.0,161.0,541.0,Low Energy Discharge,3.360248447204969,0.32786885245901637,4.878787878787879,Unknown/Other,2,0.0,High Energy Discharge (Arcing)
176.0,652.9,47.7,75.7,68.7,Low Energy Discharge,0.9075297225891678,3.7096590909090907,1.5870020964360587,Unknown/Other,2,2.0,Low Energy Discharge
87.0,34.0,23.0,15.0,60.0,High Energy Discharge (Arcing),4.0,0.39080459770114945,0.6521739130434783,Unknown/Other,0,0.0,High Energy Discharge (Arcing)
220.0,77.0,22.0,170.0,240.0,High Energy Discharge (Arcing),1.411764705882353,0.35,7.7272727272727275,High Energy Discharge (Arcing),0,0.0,High Energy Discharge (Arcing)
274.0,27.0,5.0,33.0,97.0,High Energy Discharge (Arcing),2.9393939393939394,0.09854014598540146,6.6,Unknown/Other,0,2.0,Low Energy Discharge
155.0,49.0,69.3,42.0,10.7,High Energy Discharge (Arcing),0.25476190476190474,0.3161290322580645,0.6060606060606061,Unknown/Other,0,0.0,High Energy Discharge (Arcing)
137.0,67.0,7.0,53.0,104.0,High Energy Discharge (Arcing),1.9622641509433962,0.48905109489051096,7.571428571428571,High Energy Discharge (Arcing),0,0.0,High Energy Discharge (Arcing)
63.0,22.0,15.0,11.0,76.0,High Energy Discharge (Arcing),6.909090909090909,0.3492063492063492,0.7333333333333333,Unknown/Other,0,0.0,High Energy Discharge (Arcing)
292.0,346.0,32.0,313.0,196.0,High Energy Discharge (Arcing),0.6261980830670927,1.1849315068493151,9.78125,Unknown/Other,0,0.0,High Energy Discharge (Arcing)
217.0,286.0,14.0,458.0,884.0,High Energy Discharge (Arcing),1.9301310043668123,1.3179723502304148,32.714285714285715,Unknown/Other,0,0.0,High Energy Discharge (Arcing)
13500.0,6110.0,212.0,4510.0,4040.0,High Energy Discharge (Arcing),0.8957871396895787,0.4525925925925926,21.27358490566038,High Energy Discharge (Arcing),0,0.0,High Energy Discharge (Arcing)
88.5,22.8,108.4,12.0,7.5,High Energy Discharge (Arcing),0.625,0.2576271186440678,0.11070110701107011,Unknown/Other,0,0.0,High Energy Discharge (Arcing)
50.0,42.0,98.0,10.0,33.0,High Energy Discharge (Arcing),3.3,0.84,0.10204081632653061,Unknown/Other,0,0.0,High Energy Discharge (Arcing)
60.0,5.0,2.0,21.0,32.0,High Energy Discharge (Arcing),1.5238095238095237,0.08333333333333333,10.5,Unknown/Other,0,0.0,High Energy Discharge (Arcing)
25.0,9.0,6.0,5.0,44.0,High Energy Discharge (Arcing),8.8,0.36,0.8333333333333334,Unknown/Other,0,0.0,High Energy Discharge (Arcing)
37.9,7.7,2.16,18.4,33.7,High Energy Discharge (Arcing),1.831521739130435,0.20316622691292877,8.518518518518517,High Energy Discharge (Arcing),0,0.0,High Energy Discharge (Arcing)
18.34,16.26,3.38,17.95,16.42,High Energy Discharge (Arcing),0.9147632311977717,0.8865866957470012,5.310650887573964,High Energy Discharge (Arcing),0,0.0,High Energy Discharge (Arcing)
1084.0,188.0,8.0,166.0,769.0,High Energy Discharge (Arcing),4.632530120481928,0.17343173431734318,20.75,Unknown/Other,0,0.0,High Energy Discharge (Arcing)
497.0,230.0,51.0,151.0,122.0,High Energy Discharge (Arcing),0.8079470198675497,0.46277665995975853,2.9607843137254903,Unknown/Other,0,0.0,High Energy Discharge (Arcing)
32.4,5.5,1.4,12.6,13.2,High Energy Discharge (Arcing),1.0476190476190477,0.1697530864197531,9.0,High Energy Discharge (Arcing),0,0.0,High Energy Discharge (Arcing)
19.0,12.0,2.0,8.0,63.0,High Energy Discharge (Arcing),7.875,0.631578947368421,4.0,Unknown/Other,0,0.0,High Energy Discharge (Arcing)
210.0,43.0,12.0,102.0,187.0,High Energy Discharge (Arcing),1.8333333333333333,0.20476190476190476,8.5,High Energy Discharge (Arcing),0,0.0,High Energy Discharge (Arcing)
26.0,68.0,93.0,31.0,59.0,High Energy Discharge (Arcing),1.903225806451613,2.6153846153846154,0.3333333333333333,Unknown/Other,0,0.0,High Energy Discharge (Arcing)
114.0,41.0,27.0,15.0,42.0,High Energy Discharge (Arcing),2.8,0.35964912280701755,0.5555555555555556,Unknown/Other,0,0.0,High Energy Discharge (Arcing)
7150.0,1440.0,97.0,1210.0,1760.0,High Energy Discharge (Arcing),1.4545454545454546,0.2013986013986014,12.474226804123711,High Energy Discharge (Arcing),0,0.0,High Energy Discharge (Arcing)
8.0,1e-06,1e-06,43.0,101.0,High Energy Discharge (Arcing),2.3488372093023258,1.25e-07,43000000.0,Unknown/Other,0,2.0,Low Energy Discharge
1607.0,615.0,80.0,916.0,1294.0,High Energy Discharge (Arcing),1.4126637554585153,0.3827006845052894,11.45,High Energy Discharge (Arcing),0,0.0,High Energy Discharge (Arcing)
46.0,20.0,14.0,10.0,42.0,High Energy Discharge (Arcing),4.2,0.43478260869565216,0.7142857142857143,Unknown/Other,0,0.0,High Energy Discharge (Arcing)
1027.0,185.0,17.0,271.0,399.0,High Energy Discharge (Arcing),1.4723247232472325,0.1801363193768257,15.941176470588236,High Energy Discharge (Arcing),0,0.0,High Energy Discharge (Arcing)
37.0,11.8,15.5,43.6,83.3,High Energy Discharge (Arcing),1.9105504587155961,0.31891891891891894,2.8129032258064517,Unknown/Other,0,0.0,High Energy Discharge (Arcing)
200.0,48.0,14.0,117.0,131.0,High Energy Discharge (Arcing),1.1196581196581197,0.24,8.357142857142858,High Energy Discharge (Arcing),0,0.0,High Energy Discharge (Arcing)
392.0,153.0,82.0,45.0,236.0,High Energy Discharge (Arcing),5.2444444444444445,0.3903061224489796,0.5487804878048781,Unknown/Other,0,0.0,High Energy Discharge (Arcing)
12.4,6.5,15.3,69.0,15.0,High Energy Discharge (Arcing),0.21739130434782608,0.5241935483870968,4.509803921568627,High Energy Discharge (Arcing),0,0.0,High Energy Discharge (Arcing)
71.0,151.0,9.0,89.0,412.0,High Energy Discharge (Arcing),4.629213483146067,2.1267605633802815,9.88888888888889,Unknown/Other,0,0.0,High Energy Discharge (Arcing)
127.0,24.0,1e-06,32.0,81.0,High Energy Discharge (Arcing),2.53125,0.1889763779527559,32000000.0,High Energy Discharge (Arcing),0,0.0,High Energy Discharge (Arcing)
800.0,160.0,23.0,260.0,600.0,High Energy Discharge (Arcing),2.3076923076923075,0.2,11.304347826086957,High Energy Discharge (Arcing),0,0.0,High Energy Discharge (Arcing)
212.0,38.0,15.0,47.0,78.0,High Energy Discharge (Arcing),1.6595744680851063,0.1792452830188679,3.1333333333333333,High Energy Discharge (Arcing),0,0.0,High Energy Discharge (Arcing)
8200.0,3790.0,250.0,4620.0,277.0,High Energy Discharge (Arcing),0.05995670995670996,0.46219512195121953,18.48,Unknown/Other,0,0.0,High Energy Discharge (Arcing)
2800.0,2800.0,234.0,3500.0,3600.0,High Energy Discharge (Arcing),1.0285714285714285,1.0,14.957264957264957,High Energy Discharge (Arcing),0,0.0,High Energy Discharge (Arcing)
195.7,58.0,16.4,91.6,96.9,High Energy Discharge (Arcing),1.0578602620087338,0.2963719979560552,5.585365853658537,High Energy Discharge (Arcing),0,0.0,High Energy Discharge (Arcing)
235.0,39.45,9.63,210.0,257.0,High Energy Discharge (Arcing),1.223809523809524,0.16787234042553192,21.806853582554517,High Energy Discharge (Arcing),0,0.0,High Energy Discharge (Arcing)
441.0,207.0,43.0,224.0,261.0,High Energy Discharge (Arcing),1.1651785714285714,0.46938775510204084,5.209302325581396,High Energy Discharge (Arcing),0,0.0,High Energy Discharge (Arcing)
110.0,62.0,90.0,140.0,250.0,High Energy Discharge (Arcing),1.7857142857142858,0.5636363636363636,1.5555555555555556,Unknown/Other,0,0.0,High Energy Discharge (Arcing)
88.0,21.8,79.2,41.2,41.5,High Energy Discharge (Arcing),1.0072815533980581,0.24772727272727274,0.5202020202020202,Unknown/Other,0,0.0,High Energy Discharge (Arcing)
531.0,111.9,22.7,122.5,169.0,High Energy Discharge (Arcing),1.379591836734694,0.21073446327683618,5.39647577092511,High Energy Discharge (Arcing),0,0.0,High Energy Discharge (Arcing)
9474.0,4066.0,353.0,6552.0,12997.0,High Energy Discharge (Arcing),1.9836691086691087,0.4291745830694532,18.560906515580736,High Energy Discharge (Arcing),0,0.0,High Energy Discharge (Arcing)
152.0,116.0,7.0,131.0,414.0,High Energy Discharge (Arcing),3.1603053435114505,0.7631578947368421,18.714285714285715,Unknown/Other,0,0.0,High Energy Discharge (Arcing)
150.0,130.0,9.0,55.0,30.0,High Energy Discharge (Arcing),0.5454545454545454,0.8666666666666667,6.111111111111111,High Energy Discharge (Arcing),0,0.0,High Energy Discharge (Arcing)
75.0,15.0,7.0,14.0,250.0,High Energy Discharge (Arcing),17.857142857142858,0.2,2.0,Unknown/Other,0,0.0,High Energy Discharge (Arcing)
43.0,19.0,3.0,1e-06,40.0,High Energy Discharge (Arcing),40000000.0,0.4418604651162791,3.333333333333333e-07,Unknown/Other,0,0.0,High Energy Discharge (Arcing)
1114.0,719.0,188.0,1217.0,699.0,High Energy Discharge (Arcing),0.5743631881676253,0.6454219030520646,6.473404255319149,High Energy Discharge (Arcing),0,0.0,High Energy Discharge (Arcing)
35.0,11.0,1e-06,7.0,146.0,High Energy Discharge (Arcing),20.857142857142858,0.3142857142857143,7000000.0,Unknown/Other,0,0.0,High Energy Discharge (Arcing)
629.0,402.0,16.0,298.0,1127.0,High Energy Discharge (Arcing),3.7818791946308723,0.6391096979332274,18.625,Unknown/Other,0,0.0,High Energy Discharge (Arcing)
7940.0,2000.0,355.0,3120.0,5390.0,High Energy Discharge (Arcing),1.7275641025641026,0.2518891687657431,8.788732394366198,High Energy Discharge (Arcing),0,0.0,High Energy Discharge (Arcing)
7020.0,1850.0,1e-06,2960.0,4410.0,High Energy Discharge (Arcing),1.489864864864865,0.26353276353276356,2960000000.0,High Energy Discharge (Arcing),0,0.0,High Energy Discharge (Arcing)
151.0,51.0,16.0,12.0,19.0,High Energy Discharge (Arcing),1.5833333333333333,0.33774834437086093,0.75,Unknown/Other,0,0.0,High Energy Discharge (Arcing)
2.0,41.0,133.0,9.0,21.0,High Energy Discharge (Arcing),2.3333333333333335,20.5,0.06766917293233082,Unknown/Other,0,0.0,High Energy Discharge (Arcing)
75.5,30.2,2.33,30.3,18.2,High Energy Discharge (Arcing),0.6006600660066006,0.39999999999999997,13.004291845493562,High Energy Discharge (Arcing),0,0.0,High Energy Discharge (Arcing)
17.0,42.0,192.0,12.0,20.0,High Energy Discharge (Arcing),1.6666666666666667,2.4705882352941178,0.0625,Unknown/Other,0,0.0,High Energy Discharge (Arcing)
156.0,55.0,103.0,13.0,16.0,High Energy Discharge (Arcing),1.2307692307692308,0.3525641025641026,0.1262135922330097,Unknown/Other,0,0.0,High Energy Discharge (Arcing)
21.0,34.0,5.0,47.0,62.0,High Energy Discharge (Arcing),1.3191489361702127,1.619047619047619,9.4,Unknown/Other,0,0.0,High Energy Discharge (Arcing)
64.0,18.0,1.0,4.0,122.0,High Energy Discharge (Arcing),30.5,0.28125,4.0,Unknown/Other,0,0.0,High Energy Discharge (Arcing)
25.0,28.0,27.0,15.0,80.0,High Energy Discharge (Arcing),5.333333333333333,1.12,0.5555555555555556,Unknown/Other,0,0.0,High Energy Discharge (Arcing)
2770.0,660.0,54.0,712.0,763.0,High Energy Discharge (Arcing),1.071629213483146,0.23826714801444043,13.185185185185185,High Energy Discharge (Arcing),0,0.0,High Energy Discharge (Arcing)
4419.0,3564.0,668.0,2861.0,2025.0,High Energy Discharge (Arcing),0.7077944774554351,0.8065173116089613,4.282934131736527,High Energy Discharge (Arcing),0,0.0,High Energy Discharge (Arcing)
